id,name,description,original_price,price,fulfillment_type,brand,review_count,rating_average,favourite_count,pay_later,current_seller,date_created,number_of_images,vnd_cashback,has_video,quantity_sold,category
177583697,Balo TLG Balo Phượt Đa Năng Nam Hàn Quốc Cao Cấp 80674,"Hệ thống cửa hàng Balo Nữ Đi Học Cặp Học Sinh Balo Nam Balo Nữ lớn nhất miền Bắc.    Chuyên phân phối sỉ và lẻ Balo Nam Ba Lô Nữ, quý khách đến với shop Balo Đi Học Cặp Học Sinh Balo Nam B...",149385,149385,dropship,OEM,0,0.0,0,True,Giày dép TLG,500,8,4056,False,0,backpacks_suitcases
192918667,Balo du lịch Kaka 40L,"Kaka - Dòng cặp balo công nghệ, balo thời trang, balo du lịch phượt chất lừ đây ạ   * Thương hiệu Kaka   * Chất liệu vài dù   * Không có cổng sạc USB   * Màu sắc: đen + xanh đen + xanh ...",499000,499000,dropship,OEM,0,0.0,0,True,Vân Nhi Shop,409,10,0,False,1,backpacks_suitcases
155112863,Balo chống nước LAUT Explorer - 24Ltr / 15 Inch-Hàng chính hãng,"Thông tin sản phẩm: Balo chống nước LAUT Explorer - 24Ltr / 15 InchĐặc tính sản phẩm:Balo LAUT-Explorer được tạo nên từ chất liệu vải Cordura cao cấp.Tay cầm dễ dàng, các khóa kéo dễ dàng với màu ...",1989000,1989000,dropship,LAUT,0,0.0,0,True,TLC Trading,616,5,0,False,1,backpacks_suitcases
172999562,"Balo canvas phối da ba lô du lịch phượt dã ngoại, balo sinh viên 205876",Chào mừng bạn đến với KHO SỈ BA LÔ TÚI XÁCH Chuyên balo túi xách phân phối sỉ và lẻ các loại Ba lô túi xách. Quý khách đến với KHO SỈ BA LÔ TÚI XÁCH quý khách hoàn toàn yên tâm về giá cả và...,299000,299000,dropship,OEM,0,0.0,0,True,Túi xách tlg,531,10,8118,False,0,backpacks_suitcases
199977230,"Balo Thể Thao Sigo, Balo Thời Trang Nam Nữ Chống Nước","Balo Thể Thao Sigo, Balo Thời Trang Nam Nữ Chống Nước  -------------------------------------------------------------️ MÔ TẢ SẢN PHẨM Chất liệu: PU PVC chống thấm nước cao cấp. Kích thước: 51cm x...",200000,200000,dropship,OEM,0,0.0,0,True,Song Hân Sport,338,2,0,False,0,backpacks_suitcases
176217607,Balo Nam Nữ Thời Trang Đi Học Đi CHơi Ulzzang Chống Nước Có Ngăn Đựng Laptop - Balo Du Lịch Hot Trend,Balo Nam Nữ Thời Trang Đi Học Đi CHơi Ulzzang Basic Chống Nước Có Ngăn Đựng Laptop - Balo Du Lịch Hot Trend   THÔNG TIN SẢN PHẨM :    Tên Sản Phẩm : Balo Nam Nữ Thời Trang Đi Học Đi CHơi ...,189000,189000,dropship,OEM,0,0.0,0,True,Balo Túi Xách 3979,509,9,0,False,2,backpacks_suitcases
123939703,Túi Aztron Air Wing Gear Bag AC-B040 24L,"Túi Aztron Air Wing Gear Bag AC-B040 24L giúp bạn mang theo tư trang và phụ kiện cần thiết khi đi du lịch hoặc tham gia các hoạt động thể thao, ngoài ra có thể giúp mang theo Wing 4.0 của Aztron.Thôn...",380000,380000,dropship,AZTRON,0,0.0,0,True,Umove,724,2,0,False,0,backpacks_suitcases
72517819,Balo thời trang du lịch ngang đỏ cao cấp thời trang hàn quốc tặng móc khóa nam siêu bền,balo thời trang du lịch ngang đỏ cao cấp hàn quốc tặng móc khóa nam siêu bền. chất liệu vải NILON (Polyester): Vải có tác dụng chống thấm rất tốt do được cán màng PU hoặc PVC ở mặt trong. Vải nylon th...,126100,106700,dropship,OEM,0,0.0,0,True,Shalla,1039,1,0,False,2,backpacks_suitcases
176217968,Balo Nam Đi Học Ulzzang Thời Trang Unisex Hàn Quốc Đi Chơi Du Lịch Có Ngăn Đựng Laptop,"Balo Nam Đi Học Ulzzang Thời Trang Unisex Hàn Quốc Đi Chơi Du Lịch Có Ngăn Đựng Laptop của các cô nàng, anh chàng hay lăn tăn. Đeo balo dù nhỏ-to đi đâu cũng thấy oke nè    T...",189000,189000,dropship,OEM,0,0.0,0,True,Balo Túi Xách 3979,509,9,0,False,0,backpacks_suitcases
209222419,Balo du lịch Xbags Secret Xb.1201,"Balo du lịch Secret Xb 1201Balo du lịch thời trang Xbags Secret với kiểu dáng thời trang mới mẻ, thiết kế hiện đại, tinh tế. Phân ngăn khoa học tiện lợi; chất liệu bền bỉ trượt nước vượt trội khẳng đ...",504000,504000,dropship,XBags,0,0.0,0,True,XShop Balo Túi xách,272,5,0,False,0,backpacks_suitcases
